名称,数量,地位,级别,生命值,攻击力,防御力,法术抗性,攻击间隔,重量等级,移动速度,攻击范围半径,目标价值
幽灵,3,普通,0,2300,100,120,35.0,1.0,1,1.2,—,1
雪怪小队破冰者,2,精英,0,22500,1000,600,20.0,3.0,3,0.7,—,1
雪怪小队凿冰人,4,精英,0,14400,750,500,20.0,3.0,3,0.7,—,1
磐蟹,4,普通,0,3000,300,500,85.0,2.3,1,0.75,—,1
雪怪小队,22,普通,0,3400,360,100,0.0,2.0,1,1.1,—,1
轻甲卫兵组长,8,普通,0,3700,300,500,0.0,2.0,1,1.0,—,1
重装防御者,4,精英,0,6000,600,800,0.0,2.6,3,0.75,—,1
粉碎攻坚手,2,精英,0,10000,1000,1000,0.0,3.5,4,0.5,—,1
雪怪术师,5,普通,0,5000,320,200,50.0,4.5,2,0.8,2.2,1
高能源石虫,8,普通,0,2460,260,0,0.0,1.7,0,1.0,—,1
灰尾,3,精英,0,4000,600,350,20.0,3.2,2,0.9,—,1
编制术师,5,普通,0,3000,320,100,50.0,4.0,1,0.8,1.8,1
碎岩者,6,精英,0,10000,700,100,40.0,3.3,3,0.75,—,1
碎岩者组长,3,精英,0,15000,1000,100,40.0,3.3,3,0.75,—,1
步兵组长,19,普通,0,3700,330,100,40.0,2.0,1,1.1,—,1
特工,6,精英,0,8000,340,150,50.0,2.0,2,0.9,—,1
空降兵,1,普通,0,4000,220,100,0.0,1.9,0,1.0,—,1
机动卫兵,12,普通,0,2500,200,400,0.0,2.0,1,1.0,—,1
粉碎攻坚手,3,精英,0,10000,1000,1000,0.0,3.5,4,0.5,—,1
幽灵,10,普通,0,2300,100,120,35.0,1.0,1,1.2,—,1
幽灵组长,5,普通,0,3800,100,350,35.0,1.0,1,1.2,—,1
弑君者,1,领袖,2,27000,700,250,50.0,2.8,1,1.4,—,3
破阵者,17,普通,0,3500,410,50,25.0,1.4,1,1.9,—,1
狙击步兵,7,普通,0,3000,150,100,10.0,4.0,1,0.8,3.5,1
神射手,7,普通,0,4000,230,200,0.0,3.0,1,1.0,1.7,1
猎狗pro,14,普通,0,1700,260,0,20.0,1.4,0,1.9,—,1
破阵者,8,普通,0,3500,410,50,25.0,1.4,1,1.9,—,1
特战士兵,21,普通,0,3200,350,50,0.0,2.0,1,1.1,—,1
法术大师A1,20,普通,0,2700,220,100,65.0,2.15,1,1.5,1.8,1
法术大师A2,1,精英,0,6000,600,140,65.0,3.5,1,0.8,3.0,1
宿主拾荒者,4,普通,0,6000,500,130,30.0,3.0,2,0.65,—,1
护盾高阶术师,2,精英,0,8500,380,400,20.0,3.8,1,0.7,2.2,1
寻仇者,3,精英,0,7000,470,200,50.0,3.0,2,0.65,—,1
复仇者,2,精英,0,18000,740,230,50.0,3.0,2,0.65,—,1
浮士德,1,领袖,0,22000,650,350,35.0,5.0,5,0.3,20.0,2
编制术师,5,普通,0,3500,420,100,50.0,4.0,1,0.8,1.8,1
法术近卫,8,普通,0,4000,350,200,50.0,2.5,1,0.75,—,1
技术侦察兵,3,普通,0,7000,270,100,20.0,2.5,1,1.0,—,1
打手,6,普通,0,3600,270,250,0.0,0.4,1,0.95,—,1
重装防御者-N型,5,精英,0,10000,700,800,0.0,3.0,3,0.75,—,1
精锐西西里人,19,普通,0,3200,290,260,10.0,2.0,1,1.0,—,1
W,1,领袖,0,21000,650,200,50.0,4.0,5,1.2,2.7,2
屠夫,2,精英,0,9000,850,230,30.0,3.5,3,0.7,—,1
拳刃武士,8,普通,0,4000,450,250,0.0,1.5,1,1.0,—,1
法术近卫,8,普通,0,4000,350,150,50.0,2.5,1,0.75,—,1
法术近卫组长,4,普通,0,6000,500,200,50.0,2.5,1,0.75,—,1
特战术师,8,普通,0,4000,400,200,50.0,4.0,2,0.8,2.0,1
暴乱分子,22,普通,0,2650,350,85,0.0,2.0,0,1.1,—,1
高阶术师组长,1,精英,0,15000,380,160,50.0,3.8,1,0.7,2.2,1
弩手组长,8,普通,0,1900,310,150,0.0,2.4,1,0.9,1.9,1
武装人员,2,精英,0,12000,1050,700,30.0,3.5,3,0.65,—,1
萨卡兹哨兵组长,3,普通,0,5000,0,160,30.0,1.0,1,0.5,—,1
萨卡兹刀兵,26,普通,0,2800,300,70,50.0,2.5,1,1.0,—,1
萨卡兹积怨者,5,精英,0,15000,600,200,50.0,5.0,3,0.4,3.0,1
萨卡兹魔剑士,5,精英,0,8000,400,200,50.0,2.5,2,0.5,—,1
爆破攻坚手,1,精英,0,10000,1000,600,0.0,5.0,4,0.6,—,1
轻甲卫兵,13,普通,0,2500,250,400,0.0,2.0,1,1.0,—,1
萨卡兹狙击手,3,精英,0,6000,350,200,50.0,3.0,2,0.8,2.2,1
萨卡兹穿刺手,5,精英,0,6000,450,150,40.0,4.0,3,0.25,—,1
游击队盾卫,1,精英,0,10000,600,1000,40.0,3.8,4,0.7,—,1
普通囚犯,15,普通,0,5500,280,60,0.0,2.0,1,1.1,—,1
射手囚犯,5,普通,0,5500,220,80,30.0,3.0,1,0.9,2.0,1
拳手囚犯,6,精英,0,8000,300,300,0.0,1.2,2,1.6,—,1
术师囚犯,3,精英,0,9000,300,100,50.0,3.5,3,0.5,3.0,1
强壮囚犯,3,精英,0,11000,600,700,0.0,3.3,3,0.8,—,1
重犯,1,精英,0,20000,800,400,0.0,3.0,5,0.8,—,1
传奇重犯,1,精英,0,25000,1000,500,0.0,3.0,5,0.8,—,1
粉碎攻坚手,2,精英,0,10000,1000,1000,0.0,5.0,4,0.5,—,1
泥岩小队掷能者,6,精英,0,6000,380,300,30.0,2.6,3,0.8,2.5,1
泥岩小队践行者,4,精英,0,8000,800,600,30.0,5.0,3,0.8,—,1
机动卫兵,23,普通,0,2500,200,300,0.0,2.0,1,1.0,—,1
泥岩巨像,2,精英,0,50000,3000,600,30.0,7.0,5,0.4,—,1
泥岩,1,领袖,0,25000,800,1000,30.0,7.0,6,0.5,—,2
大鲍勃,1,领袖,0,35000,1900,1000,30.0,7.0,4,0.5,—,1
无名独立骑士,22,普通,0,2800,280,150,0.0,2.0,1,1.1,—,1
训练用钳兽,20,普通,0,2000,380,450,30.0,2.5,0,0.9,—,1
呼啸骑士团学徒,5,普通,0,3300,300,100,0.0,2.4,1,0.9,2.0,1
锋盔骑士团学徒,2,精英,0,8000,450,550,50.0,2.8,3,0.75,1.3,1
腐败骑士,1,领袖,0,25000,1100,1200,30.0,4.0,6,0.65,—,3
凋零骑士,1,领袖,0,25000,500,450,70.0,4.0,6,0.65,2.5,3
持盾独立骑士,3,精英,0,8000,700,1000,0.0,3.0,4,0.7,—,1
编制术师,3,普通,0,3000,320,100,50.0,4.0,1,0.8,1.8,1
妖怪MKII,26,普通,0,1550,220,50,0.0,3.0,0,0.9,2.0,1
帝国炮火先兆者,1,精英,0,13000,1000,800,50.0,5.0,4,0.5,2.0,1
游击队盾卫,2,精英,0,15000,700,1300,60.0,3.8,4,0.7,—,1
游击队战士,10,普通,0,3300,300,300,20.0,2.0,1,1.1,—,1
游击队传令兵,2,普通,0,7000,300,120,50.0,2.7,1,1.0,—,1
游击队狙击手,4,普通,0,3000,340,300,20.0,2.5,1,0.9,2.2,1
提亚卡乌战士,24,普通,0,2600,290,60,10.0,1.8,1,0.8,—,1
提亚卡乌好战者,6,普通,0,5500,320,380,10.0,1.0,2,0.8,—,1
提亚卡乌巫术师,3,普通,0,6000,250,200,70.0,4.0,3,0.8,2.5,1
提亚卡乌勇士,5,精英,0,12000,700,950,10.0,4.0,5,0.7,—,1
“红标”根除者,2,精英,0,5000,1200,300,30.0,5.0,1,0.9,—,1
“红标”渗透者,2,精英,0,6000,400,500,30.0,2.0,1,1.3,1.5,1
全息幻影,0,普通,0,3000,250,0,0.0,2.0,1,1.3,1.5,0
"""庞贝""",1,领袖,0,40000,230,220,70.0,3.5,4,0.65,3.5,1
源石虫·α,27,普通,0,1050,185,0,0.0,1.7,0,1.0,—,1
工蚁,10,普通,0,2300,100,120,40.0,1.0,1,1.2,—,1
工蚁组长,1,普通,0,3800,100,260,45.0,1.0,1,1.2,—,1
狂暴的猎狗pro,8,普通,0,3000,370,0,20.0,1.4,0,1.9,—,1
屠夫,3,精英,0,9000,850,230,30.0,3.5,3,0.7,—,1
法术近卫,2,普通,0,4000,350,200,50.0,2.5,1,0.75,—,1
“阿咬”,9,普通,0,3000,290,120,10.0,2.0,1,1.1,—,1
“得意”,18,普通,0,2460,120,0,0.0,2.0,0,1.2,—,1
“遮目”,5,精英,0,14000,800,600,20.0,3.5,4,1.3,—,1
“妒”,3,精英,0,10000,500,200,60.0,4.0,3,0.8,2.5,1
“自在”,1,领袖,0,25000,500,650,50.0,4.0,10,0.5,2.5,2
战术弩手,7,普通,0,3100,320,260,40.0,2.4,1,0.9,2.5,1
战术防御者,5,精英,0,7000,700,800,40.0,2.6,4,0.7,—,1
反装甲步兵,12,普通,0,3200,500,50,40.0,2.6,2,0.9,3.5,1
战争幽灵,3,精英,0,10000,1100,500,60.0,3.0,3,1.2,—,1
步兵组长,16,普通,0,3700,330,100,40.0,2.0,1,1.1,—,1
机动卫兵,10,普通,0,2500,200,400,0.0,2.0,1,1.0,—,1
法术大师A1,0,普通,0,2700,220,100,65.0,2.15,1,1.5,1.8,1
破片,0,普通,0,5000,250,80,50.0,3.8,0,1.0,1.4,1
铁砧,0,普通,0,5000,0,80,50.0,1.0,0,1.0,2.5,1
暗潮钳兽,7,普通,0,1800,350,300,30.0,2.1,0,1.5,—,1
无胄盟弩手,13,普通,0,3000,300,100,0.0,2.9,1,0.9,2.0,1
无胄盟刺客,11,普通,0,4500,400,250,20.0,2.2,1,1.0,—,1
骑士领游荡者,3,精英,0,7500,800,550,20.0,2.5,3,1.3,—,1
骑士领蛰伏者,2,精英,0,8500,1000,550,20.0,2.5,3,1.3,—,1
烛骑士薇薇安娜,1,精英,1,16000,500,450,60.0,3.2,4,0.7,2.2,3
梦魇追随者,0,精英,0,15000,1500,750,20.0,5.0,5,0.7,—,1
“最后的怯薛”，拓拉,1,精英,0,18000,1200,700,20.0,5.0,5,0.7,—,3
无名独立骑士,3,普通,0,2800,280,150,0.0,2.0,1,1.1,—,1
无胄盟第三小队,1,精英,0,6500,500,200,40.0,3.0,2,0.8,全图,1
无胄盟清扫小队,1,精英,0,6500,700,200,40.0,5.0,2,0.8,全图,1
磨砻,32,普通,0,2000,310,0,20.0,1.5,0,1.5,—,1
木制瑞印,0,普通,0,2,0,0,0.0,1.0,0,0.8,—,1
清明,2,精英,0,14000,550,850,20.0,3.0,3,0.7,—,1
铜灯盘,0,普通,0,35,0,0,0.0,1.0,0,0.5,—,1
青花,3,精英,0,7000,400,350,50.0,3.0,1,0.9,2.0,1
青瓷花瓶,0,普通,0,12,0,0,0.0,1.0,0,0.7,—,1
新硎,1,精英,0,14000,1350,750,30.0,2.2,3,1.3,—,1
铁矛头,0,普通,0,30,0,0,0.0,1.0,0,0.7,—,1
“阿咬”,10,普通,0,3000,290,120,10.0,2.0,1,1.1,—,1
底海滑动者,16,普通,0,2800,280,130,10.0,2.0,1,1.1,—,1
脊海喷吐者,5,普通,0,4400,280,160,20.0,3.0,1,0.75,2.5,1
钵海收割者,5,精英,0,20000,400,800,75.0,3.0,2,0.3,—,1
首言者,2,精英,0,21000,600,500,20.0,3.0,4,0.8,2.5,2
囊海爬行者,6,精英,0,25000,300,0,0.0,3.0,4,0.4,—,1
深池侦察兵,20,普通,0,3000,280,110,0.0,2.0,1,1.0,—,1
深池暗影术师,8,普通,0,4500,300,150,20.0,3.0,1,1.1,2.5,1
深池焚毁者,4,精英,0,8000,500,400,0.0,2.0,3,0.8,1.5,1
深池塑能术师,2,精英,0,15000,0,450,40.0,5.0,3,0.3,—,1
守墓石像,2,精英,0,10000,550,550,0.0,4.0,4,0.5,1.6,1
萨卡兹刀兵,14,普通,0,2800,300,70,50.0,2.5,1,1.0,—,1
萨卡兹术师,2,精英,0,12000,500,200,50.0,4.0,2,0.8,2.5,1
萨卡兹子裔集恨者,2,精英,0,14000,1000,800,20.0,5.0,4,0.5,—,1
萨卡兹子裔工匠,2,普通,0,6000,300,250,20.0,2.0,1,1.0,—,1
萨卡兹征用工程无人机,3,普通,0,6000,500,150,10.0,4.5,1,0.5,2.0,1
大君之触,30,普通,0,1500,280,100,10.0,2.5,0,1.0,—,1
大君之赐,4,普通,0,3000,680,200,20.0,4.0,3,0.7,—,1
曼弗雷德,1,领袖,0,20000,600,600,20.0,5.0,8,0.5,2.0,3
帝国前锋精锐,2,精英,0,12000,900,800,50.0,4.5,4,0.7,1.5,1
乌萨斯突击者,3,精英,0,7500,550,500,50.0,2.2,2,1.5,—,1
感染者纠察官,21,普通,0,3300,330,150,20.0,2.0,1,1.1,—,1
乌萨斯突袭弩手,4,普通,0,4000,350,200,20.0,2.3,1,1.0,2.4,1
乌萨斯着铠术师,2,普通,0,5000,340,500,50.0,2.8,2,0.9,2.2,1
乌萨斯平民,5,普通,0,3500,0,50,0.0,0.0,1,0.65,—,0
帝国炮火先兆者,1,精英,0,13000,1000,800,50.0,5.0,4,0.5,2.0,1
潜水员,2,普通,0,3300,240,150,20.0,2.7,1,0.9,1.9,1
不法分子,6,普通,0,2800,280,100,0.0,2.0,1,1.0,—,1
不法分子头目,4,普通,0,3500,360,120,0.0,2.0,1,1.0,—,1
全封闭沙滩车,3,精英,0,20000,800,1000,10.0,3.5,4,1.3,—,1
沙堡建筑者,5,普通,0,3500,150,300,50.0,1.5,2,0.7,3.5,1
码头水手,4,精英,0,10000,800,800,20.0,3.5,4,0.7,—,1
码头水手长,2,精英,0,14000,1000,1000,20.0,3.5,4,0.7,—,1
工蚁,7,普通,0,2300,100,120,40.0,1.0,1,1.2,—,1
工蚁组长,11,普通,0,3800,100,260,45.0,1.0,1,1.2,—,1
钢铁冲浪教练,3,精英,0,8000,400,800,10.0,3.0,3,0.75,—,1
萨卡兹刀兵,6,普通,0,2800,300,70,50.0,2.5,1,1.0,—,1
萨卡兹枯朽战士,8,普通,0,4500,380,100,20.0,2.5,1,0.8,—,1
萨卡兹枯朽术师,6,普通,0,6500,320,200,50.0,3.0,2,0.7,2.2,1
伦蒂尼姆城防自行炮,2,精英,0,15000,600,1500,10.0,6.0,4,0.5,3.0,1
萨卡兹枯朽战车,3,精英,0,12000,750,750,10.0,4.5,4,0.7,2.2,1
狂暴的猎狗pro,24,普通,0,3000,370,0,20.0,1.4,0,1.9,—,1
游击队战士,13,普通,0,3300,300,300,20.0,2.0,1,1.1,—,1
隐形术师,3,普通,0,2200,350,80,50.0,4.0,1,0.8,2.0,1
游击队迫击炮兵,3,精英,0,5500,350,550,20.0,4.8,2,0.6,15.0,1
游击队萨卡兹战士,4,精英,0,8000,480,280,50.0,2.5,2,0.85,—,1
寻仇者,1,精英,0,7000,470,200,50.0,3.0,2,0.65,—,1
复仇者,3,精英,0,18000,650,230,50.0,3.0,2,0.65,—,1
“复仇者”,1,领袖,0,23000,800,650,60.0,3.0,3,0.65,—,2
